Mg,Al,RI,K,Ca,Na,Type
4.49,1.1,1.52101,0.06,8.75,13.64,1
3.6,1.36,1.51761,0.48,7.83,13.89,1
3.55,1.54,1.51618,0.39,7.78,13.53,1
3.69,1.29,1.51766,0.57,8.22,13.21,1
3.62,1.24,1.51742,0.55,8.07,13.27,1
3.6,1.14,1.51743,0.58,8.17,13.3,1
3.61,1.05,1.51756,0.57,8.24,13.15,1
3.58,1.37,1.51918,0.56,8.3,14.04,1
3.6,1.36,1.51755,0.57,8.4,13.0,1
3.46,1.56,1.51571,0.67,8.09,12.72,1
3.66,1.27,1.51763,0.6,8.56,12.8,1
3.43,1.4,1.51589,0.69,8.05,12.88,1
3.56,1.27,1.51748,0.54,8.38,12.86,1
3.59,1.31,1.51763,0.58,8.5,12.61,1
3.54,1.23,1.51761,0.58,8.39,12.81,1
3.67,1.16,1.51784,0.61,8.7,12.68,1
3.85,0.89,1.52196,0.15,9.15,14.36,1
3.73,1.18,1.51911,0.06,8.89,13.9,1
3.54,1.69,1.51735,0.54,8.44,13.02,1
3.55,1.49,1.5175,0.54,8.52,12.82,1
3.62,1.29,1.51736,0.59,8.7,12.78,1
3.57,1.35,1.51751,0.62,8.59,12.81,1
3.5,1.15,1.5172,0.5,8.43,13.38,1
3.54,1.21,1.51764,0.65,8.53,12.98,1
3.48,1.41,1.51793,0.59,8.43,13.21,1
3.48,1.33,1.51721,0.56,8.43,12.87,1
3.52,1.43,1.51768,0.57,8.54,12.56,1
3.49,1.28,1.51784,0.6,8.49,13.08,1
3.56,1.3,1.51768,0.61,8.69,12.65,1
3.5,1.14,1.51747,0.56,8.55,12.84,1
3.48,1.23,1.51775,0.61,8.56,12.85,1
3.47,1.38,1.51753,0.6,8.55,12.57,1
3.54,1.34,1.51783,0.57,8.75,12.69,1
3.45,1.21,1.51567,0.56,8.57,13.29,1
3.53,1.32,1.51909,0.51,8.78,13.89,1
3.48,1.35,1.51797,0.64,8.68,12.74,1
3.82,0.47,1.52213,0.11,9.57,14.21,1
3.5,1.12,1.51793,0.64,8.77,12.79,1
3.42,1.2,1.51755,0.59,8.64,12.71,1
3.39,1.33,1.51779,0.59,8.59,13.21,1
3.84,0.72,1.5221,0.17,9.74,13.73,1
3.48,1.35,1.519,0.55,9.0,13.49,1
3.37,1.18,1.51869,0.57,8.83,13.19,1
3.77,0.79,1.52223,0.13,10.02,13.21,1
3.35,1.23,1.51898,0.59,8.91,13.58,1
3.72,0.51,1.5232,0.09,10.06,13.72,1
3.33,1.28,1.51926,0.6,9.14,13.2,1
2.87,1.19,1.51808,0.55,9.03,13.43,1
2.84,1.28,1.51837,0.55,9.07,13.14,1
